Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Jesseren (Borgloon);3840;Borgloon;Niet-stedelijk;Jesseren (Borgloon);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kerniel (Borgloon);3840;Borgloon;Niet-stedelijk;Kerniel (Borgloon);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoepertingen (Borgloon);3840;Borgloon;Niet-stedelijk;Hoepertingen (Borgloon);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bornem;2880;Bornem;Niet-stedelijk;Bornem;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hingene (Bornem);2880;Bornem;Niet-stedelijk;Hingene (Bornem);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mariekerke (Bornem);2880;Bornem;Niet-stedelijk;Mariekerke (Bornem);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Borsbeek;2150;Borsbeek;Niet-stedelijk;Borsbeek;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Roosbeek (Boutersem);3370;Boutersem;Niet-stedelijk;Roosbeek (Boutersem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Brakel;9660;Brakel;Niet-stedelijk;Brakel;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Everbeek (Brakel);9660;Brakel;Niet-stedelijk;Everbeek (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Michelbeke (Brakel);9660;Brakel;Niet-stedelijk;Michelbeke (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nederbrakel (Brakel);9660;Brakel;Niet-stedelijk;Nederbrakel (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elst (Brakel);9660;Brakel;Niet-stedelijk;Elst (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opbrakel (Brakel);9660;Brakel;Niet-stedelijk;Opbrakel (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Parike (Brakel);9661;Brakel;Niet-stedelijk;Parike (Brakel);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Brasschaat;2930;Brasschaat;Niet-stedelijk;Brasschaat;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Brecht;2960;Brecht;Niet-stedelijk;Brecht;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Job-In-'t-Goor (Brecht);2960;Brecht;Niet-stedelijk;Sint-Job-In-'t-Goor (Brecht);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Lenaarts (Brecht);2960;Brecht;Niet-stedelijk;Sint-Lenaarts (Brecht);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bredene;8450;Bredene;Niet-stedelijk;Bredene;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bree;3960;Bree;Niet-stedelijk;Bree;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gerdingen (Bree);3960;Bree;Niet-stedelijk;Gerdingen (Bree);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opitter (Bree);3960;Bree;Niet-stedelijk;Opitter (Bree);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tongerlo (Bree);3960;Bree;Niet-stedelijk;Tongerlo (Bree);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
