Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Kozen (Nieuwerkerken);3850;Nieuwerkerken;Niet-stedelijk;Kozen (Nieuwerkerken);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wijer (Nieuwerkerken);3850;Nieuwerkerken;Niet-stedelijk;Wijer (Nieuwerkerken);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwpoort;8620;Nieuwpoort;Niet-stedelijk;Nieuwpoort;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ramskapelle (Nieuwpoort);8620;Nieuwpoort;Niet-stedelijk;Ramskapelle (Nieuwpoort);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Joris (Nieuwpoort);8620;Nieuwpoort;Niet-stedelijk;Sint-Joris (Nieuwpoort);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kessel (Nijlen);2560;Nijlen;Niet-stedelijk;Kessel (Nijlen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nijlen;2560;Nijlen;Niet-stedelijk;Nijlen;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bevel (Nijlen);2560;Nijlen;Niet-stedelijk;Bevel (Nijlen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Denderwindeke (Ninove);9400;Ninove;Niet-stedelijk;Denderwindeke (Ninove);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nederhasselt (Ninove);9400;Ninove;Niet-stedelijk;Nederhasselt (Ninove);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ninove;9400;Ninove;Niet-stedelijk;Ninove;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pollare (Ninove);9401;Ninove;Niet-stedelijk;Pollare (Ninove);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meerbeke (Ninove);9402;Ninove;Niet-stedelijk;Meerbeke (Ninove);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aspelare (Ninove);9404;Ninove;Niet-stedelijk;Aspelare (Ninove);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Olen;2250;Olen;Niet-stedelijk;Olen;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostende;8400;Oostende;Centrumstad;Oostende;West Flanders;Belgium;West-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Stene (Oostende);8400;Oostende;Centrumstad;Stene (Oostende);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zandvoorde (Oostende);8400;Oostende;Centrumstad;Zandvoorde (Oostende);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Balegem (Oosterzele);9860;Oosterzele;Niet-stedelijk;Balegem (Oosterzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oosterzele;9860;Oosterzele;Niet-stedelijk;Oosterzele;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Scheldewindeke (Oosterzele);9860;Oosterzele;Niet-stedelijk;Scheldewindeke (Oosterzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostkamp;8020;Oostkamp;Niet-stedelijk;Oostkamp;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ruddervoorde (Oostkamp);8020;Oostkamp;Niet-stedelijk;Ruddervoorde (Oostkamp);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Waardamme (Oostkamp);8020;Oostkamp;Niet-stedelijk;Waardamme (Oostkamp);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hertsberge (Oostkamp);8020;Oostkamp;Niet-stedelijk;Hertsberge (Oostkamp);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostrozebeke;8780;Oostrozebeke;Niet-stedelijk;Oostrozebeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opglabbeek;3660;Opglabbeek;Niet-stedelijk;Opglabbeek;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opwijk;1745;Opwijk;Niet-stedelijk;Opwijk;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oud-Heverlee;3050;Oud-Heverlee;Niet-stedelijk;Oud-Heverlee;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Joris-Weert (Oud-Heverlee);3051;Oud-Heverlee;Niet-stedelijk;Sint-Joris-Weert (Oud-Heverlee);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Blanden (Oud-Heverlee);3052;Oud-Heverlee;Niet-stedelijk;Blanden (Oud-Heverlee);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Haasrode (Oud-Heverlee);3053;Oud-Heverlee;Niet-stedelijk;Haasrode (Oud-Heverlee);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oud-Turnhout;2360;Oud-Turnhout;Niet-stedelijk;Oud-Turnhout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ename (Oudenaarde);9700;Oudenaarde;Niet-stedelijk;Ename (Oudenaarde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mater (Oudenaarde);9700;Oudenaarde;Niet-stedelijk;Mater (Oudenaarde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mullem (Oudenaarde);9700;Oudenaarde;Niet-stedelijk;Mullem (Oudenaarde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oudenaarde;9700;Oudenaarde;Niet-stedelijk;Oudenaarde;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leupegem (Oudenaarde);9700;Oudenaarde;Niet-stedelijk;Leupegem (Oudenaarde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oudenburg;8460;Oudenburg;Niet-stedelijk;Oudenburg;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Roksem (Oudenburg);8460;Oudenburg;Niet-stedelijk;Roksem (Oudenburg);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westkerke (Oudenburg);8460;Oudenburg;Niet-stedelijk;Westkerke (Oudenburg);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oudergem (Brussel);1160;Oudergem;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Overijse;3090;Overijse;Niet-stedelijk;Overijse;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Overpelt;3900;Overpelt;Niet-stedelijk;Overpelt;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Peer;3990;Peer;Niet-stedelijk;Peer;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heikruis (Pepingen);1670;Pepingen;Niet-stedelijk;Heikruis (Pepingen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pepingen;1670;Pepingen;Niet-stedelijk;Pepingen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elingen (Pepingen);1671;Pepingen;Niet-stedelijk;Elingen (Pepingen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beert (Pepingen);1673;Pepingen;Niet-stedelijk;Beert (Pepingen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bellingen (Pepingen);1674;Pepingen;Niet-stedelijk;Bellingen (Pepingen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Egem (Pittem);8740;Pittem;Niet-stedelijk;Egem (Pittem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pittem;8740;Pittem;Niet-stedelijk;Pittem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Poperinge;8970;Poperinge;Niet-stedelijk;Poperinge;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Reningelst (Poperinge);8970;Poperinge;Niet-stedelijk;Reningelst (Poperinge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Proven (Poperinge);8972;Poperinge;Niet-stedelijk;Proven (Poperinge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Roesbrugge-Haringe (Poperinge);8972;Poperinge;Niet-stedelijk;Roesbrugge-Haringe (Poperinge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Watou (Poperinge);8978;Poperinge;Niet-stedelijk;Watou (Poperinge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beerzel (Putte);2580;Putte;Niet-stedelijk;Beerzel (Putte);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Putte;2580;Putte;Niet-stedelijk;Putte;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Breendonk (Puurs);2870;Puurs;Niet-stedelijk;Breendonk (Puurs);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Liezele (Puurs);2870;Puurs;Niet-stedelijk;Liezele (Puurs);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Puurs;2870;Puurs;Niet-stedelijk;Puurs;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ruisbroek (Puurs);2870;Puurs;Niet-stedelijk;Ruisbroek (Puurs);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Broechem (Ranst);2520;Ranst;Niet-stedelijk;Broechem (Ranst);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Emblem (Ranst);2520;Ranst;Niet-stedelijk;Emblem (Ranst);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oelegem (Ranst);2520;Ranst;Niet-stedelijk;Oelegem (Ranst);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ranst;2520;Ranst;Niet-stedelijk;Ranst;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ravels;2380;Ravels;Niet-stedelijk;Ravels;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Weelde (Ravels);2381;Ravels;Niet-stedelijk;Weelde (Ravels);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Retie;2470;Retie;Niet-stedelijk;Retie;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Genoelselderen (Riemst);3770;Riemst;Niet-stedelijk;Genoelselderen (Riemst);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Membruggen (Riemst);3770;Riemst;Niet-stedelijk;Membruggen (Riemst);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Millen (Riemst);3770;Riemst;Niet-stedelijk;Millen (Riemst);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Riemst;3770;Riemst;Niet-stedelijk;Riemst;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vlijtingen (Riemst);3770;Riemst;Niet-stedelijk;Vlijtingen (Riemst);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kanne (Riemst);3770;Riemst;Niet-stedelijk;Kanne (Riemst);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rijkevorsel;2310;Rijkevorsel;Niet-stedelijk;Rijkevorsel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beveren (Roeselare);8800;Roeselare;Centrumstad;Beveren (Roeselare);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oekene (Roeselare);8800;Roeselare;Centrumstad;Oekene (Roeselare);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Roeselare;8800;Roeselare;Centrumstad;Roeselare;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rumbeke (Roeselare);8800;Roeselare;Centrumstad;Rumbeke (Roeselare);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ronse;9600;Ronse;Niet-stedelijk;Ronse;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Onze-Lieve-Vrouw-Lombeek (Roosdaal);1760;Roosdaal;Niet-stedelijk;Onze-Lieve-Vrouw-Lombeek (Roosdaal);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pamel (Roosdaal);1760;Roosdaal;Niet-stedelijk;Pamel (Roosdaal);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Roosdaal;1760;Roosdaal;Niet-stedelijk;Roosdaal;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Strijtem (Roosdaal);1760;Roosdaal;Niet-stedelijk;Strijtem (Roosdaal);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Borchtlombeek (Roosdaal);1761;Roosdaal;Niet-stedelijk;Borchtlombeek (Roosdaal);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rotselaar;3110;Rotselaar;Niet-stedelijk;Rotselaar;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wezemaal (Rotselaar);3111;Rotselaar;Niet-stedelijk;Wezemaal (Rotselaar);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Werchter (Rotselaar);3118;Rotselaar;Niet-stedelijk;Werchter (Rotselaar);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ruiselede;8755;Ruiselede;Niet-stedelijk;Ruiselede;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Reet (Rumst);2840;Rumst;Niet-stedelijk;Reet (Rumst);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schaarbeek (Brussel);1030;Schaarbeek;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Schelle;2627;Schelle;Niet-stedelijk;Schelle;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Scherpenheuvel (Scherpenheuvel-Zichem);3270;Scherpenheuvel-Zichem;Niet-stedelijk;Scherpenheuvel (Scherpenheuvel-Zichem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Averbode (Scherpenheuvel-Zichem);3271;Scherpenheuvel-Zichem;Niet-stedelijk;Averbode (Scherpenheuvel-Zichem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zichem (Scherpenheuvel-Zichem);3271;Scherpenheuvel-Zichem;Niet-stedelijk;Zichem (Scherpenheuvel-Zichem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Messelbroek (Scherpenheuvel-Zichem);3272;Scherpenheuvel-Zichem;Niet-stedelijk;Messelbroek (Scherpenheuvel-Zichem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Testelt (Scherpenheuvel-Zichem);3272;Scherpenheuvel-Zichem;Niet-stedelijk;Testelt (Scherpenheuvel-Zichem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
s Gravenwezel (Schilde);2970;Schilde;Niet-stedelijk;s Gravenwezel (Schilde);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schilde;2970;Schilde;Niet-stedelijk;Schilde;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schoten;2900;Schoten;Niet-stedelijk;Schoten;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Agatha-Berchem (Brussel);1082;Sint-Agatha-Berchem;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Lippelo (Sint-Amands);2890;Sint-Amands;Niet-stedelijk;Lippelo (Sint-Amands);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oppuurs (Sint-Amands);2890;Sint-Amands;Niet-stedelijk;Oppuurs (Sint-Amands);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Amands;2890;Sint-Amands;Niet-stedelijk;Sint-Amands;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Genesius-Rode;1640;Sint-Genesius-Rode;Niet-stedelijk;Sint-Genesius-Rode;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Gillis (Brussel);1060;Sint-Gillis;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
De Klinge (Sint-Gillis-Waas);9170;Sint-Gillis-Waas;Niet-stedelijk;De Klinge (Sint-Gillis-Waas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Gillis-Waas;9170;Sint-Gillis-Waas;Niet-stedelijk;Sint-Gillis-Waas;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meerdonk (Sint-Gillis-Waas);9170;Sint-Gillis-Waas;Niet-stedelijk;Meerdonk (Sint-Gillis-Waas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Pauwels (Sint-Gillis-Waas);9170;Sint-Gillis-Waas;Niet-stedelijk;Sint-Pauwels (Sint-Gillis-Waas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Jans-Molenbeek (Brussel);1080;Sint-Jans-Molenbeek;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Sint-Joost-Ten-Node (Brussel);1210;Sint-Joost-Ten-Node;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Sint-Katelijne-Waver;2860;Sint-Katelijne-Waver;Niet-stedelijk;Sint-Katelijne-Waver;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Onze-Lieve-Vrouw-Waver (Sint-Katelijne-Waver);2861;Sint-Katelijne-Waver;Niet-stedelijk;Onze-Lieve-Vrouw-Waver (Sint-Katelijne-Waver);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Lambrechts-Woluwe (Brussel);1200;Sint-Lambrechts-Woluwe;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Sint-Laureins;9980;Sint-Laureins;Niet-stedelijk;Sint-Laureins;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Jan-In-Eremo (Sint-Laureins);9982;Sint-Laureins;Niet-stedelijk;Sint-Jan-In-Eremo (Sint-Laureins);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Watervliet (Sint-Laureins);9988;Sint-Laureins;Niet-stedelijk;Watervliet (Sint-Laureins);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bavegem (Sint-Lievens-Houtem);9520;Sint-Lievens-Houtem;Niet-stedelijk;Bavegem (Sint-Lievens-Houtem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Lievens-Houtem;9520;Sint-Lievens-Houtem;Niet-stedelijk;Sint-Lievens-Houtem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zonnegem (Sint-Lievens-Houtem);9520;Sint-Lievens-Houtem;Niet-stedelijk;Zonnegem (Sint-Lievens-Houtem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Latem;9830;Sint-Martens-Latem;Niet-stedelijk;Sint-Martens-Latem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Deurle (Sint-Martens-Latem);9831;Sint-Martens-Latem;Niet-stedelijk;Deurle (Sint-Martens-Latem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Niklaas;9100;Sint-Niklaas;Centrumstad;Sint-Niklaas;East Flanders;Belgium;Oost-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Nieuwkerken-Waas (Sint-Niklaas);9100;Sint-Niklaas;Centrumstad;Nieuwkerken-Waas (Sint-Niklaas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Belsele (Sint-Niklaas);9111;Sint-Niklaas;Centrumstad;Belsele (Sint-Niklaas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sinaai-Waas (Sint-Niklaas);9112;Sint-Niklaas;Centrumstad;Sinaai-Waas (Sint-Niklaas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Laureins-Berchem (Sint-Pieters-Leeuw);1600;Sint-Pieters-Leeuw;Niet-stedelijk;Sint-Laureins-Berchem (Sint-Pieters-Leeuw);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Leeuw;1600;Sint-Pieters-Leeuw;Niet-stedelijk;Sint-Pieters-Leeuw;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ruisbroek (Sint-Pieters-Leeuw);1601;Sint-Pieters-Leeuw;Niet-stedelijk;Ruisbroek (Sint-Pieters-Leeuw);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vlezenbeek (Sint-Pieters-Leeuw);1602;Sint-Pieters-Leeuw;Niet-stedelijk;Vlezenbeek (Sint-Pieters-Leeuw);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Woluwe (Brussel);1150;Sint-Pieters-Woluwe;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Brustem (Sint-Truiden);3800;Sint-Truiden;Niet-stedelijk;Brustem (Sint-Truiden);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Truiden;3800;Sint-Truiden;Niet-stedelijk;Sint-Truiden;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zepperen (Sint-Truiden);3800;Sint-Truiden;Niet-stedelijk;Zepperen (Sint-Truiden);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Velm (Sint-Truiden);3806;Sint-Truiden;Niet-stedelijk;Velm (Sint-Truiden);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoevenen (Stabroek);2940;Stabroek;Niet-stedelijk;Hoevenen (Stabroek);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Stabroek;2940;Stabroek;Niet-stedelijk;Stabroek;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostnieuwkerke (Staden);8840;Staden;Niet-stedelijk;Oostnieuwkerke (Staden);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Staden;8840;Staden;Niet-stedelijk;Staden;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westrozebeke (Staden);8840;Staden;Niet-stedelijk;Westrozebeke (Staden);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Melsbroek (Steenokkerzeel);1820;Steenokkerzeel;Niet-stedelijk;Melsbroek (Steenokkerzeel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Perk (Steenokkerzeel);1820;Steenokkerzeel;Niet-stedelijk;Perk (Steenokkerzeel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
